Month,Date,Time,Unit.code,ID.code,Sex,Diet.Item,Season
February,2/2/2015,9:03:17 AM,8,17,male,graminoid.leaves,dry
February,2/2/2015,9:16:21 AM,8,17,male,graminoid.underground,dry
February,2/2/2015,9:16:21 AM,8,24,male,graminoid.underground,dry
February,2/2/2015,9:16:21 AM,8,46,female,graminoid.leaves,dry
February,2/2/2015,9:26:10 AM,8,24,male,graminoid.underground,dry
February,2/2/2015,9:26:10 AM,8,46,female,graminoid.underground,dry
February,2/2/2015,9:26:10 AM,8,17,male,graminoid.underground,dry
February,2/2/2015,9:26:10 AM,8,29,female,graminoid.underground,dry
February,2/2/2015,9:36:13 AM,8,29,female,graminoid.underground,dry
February,2/2/2015,9:36:13 AM,8,46,female,graminoid.underground,dry
February,2/2/2015,9:36:13 AM,8,24,male,graminoid.underground,dry
February,2/2/2015,10:30:13 AM,6,40,female,forb.leaves,dry
February,2/2/2015,10:39:39 AM,6,49,female,graminoid.underground,dry
February,2/2/2015,10:50:01 AM,6,49,female,graminoid.underground,dry
February,2/2/2015,10:50:01 AM,6,40,female,graminoid.underground,dry
February,2/2/2015,11:57:34 AM,1,8,female,crop,dry
February,2/2/2015,11:57:34 AM,1,38,female,forb.leaves,dry
February,2/2/2015,12:03:37 PM,1,11,female,crop,dry
February,2/2/2015,12:04:03 PM,1,7,female,crop,dry
February,2/2/2015,12:08:02 PM,1,51,male,crop,dry
February,2/2/2015,12:08:02 PM,1,14,female,crop,dry
February,2/2/2015,12:08:02 PM,1,11,female,graminoid.leaves,dry
February,2/2/2015,12:17:27 PM,1,51,male,graminoid.leaves,dry
February,2/2/2015,12:17:27 PM,1,11,female,graminoid.leaves,dry
February,2/2/2015,12:37:07 PM,1,38,female,crop,dry
February,2/2/2015,12:37:07 PM,1,51,male,crop,dry
February,2/2/2015,12:37:07 PM,1,11,female,crop,dry
February,2/2/2015,12:37:07 PM,1,20,female,crop,dry
February,2/2/2015,12:37:07 PM,1,7,female,crop,dry
February,2/2/2015,12:46:47 PM,1,51,male,crop,dry
February,2/2/2015,12:46:47 PM,1,20,female,crop,dry
February,2/2/2015,12:46:47 PM,1,11,female,crop,dry
February,2/2/2015,12:46:47 PM,1,38,female,crop,dry
February,2/2/2015,12:46:47 PM,1,7,female,crop,dry
February,2/2/2015,4:25:12 PM,2,26,female,forb.leaves,dry
February,2/2/2015,4:25:12 PM,2,48,female,graminoid.leaves,dry
February,2/2/2015,4:25:12 PM,2,48,female,graminoid.leaves,dry
February,2/2/2015,4:25:12 PM,2,21,female,graminoid.leaves,dry
February,2/2/2015,4:25:12 PM,2,53,female,graminoid.leaves,dry
February,2/2/2015,4:25:12 PM,2,36,male,unidentified.underground,dry
February,2/2/2015,4:35:16 PM,2,37,female,unidentified.underground,dry
February,2/2/2015,4:35:16 PM,2,53,female,unidentified.underground,dry
February,2/2/2015,4:35:16 PM,2,26,female,unidentified.underground,dry
February,2/2/2015,4:35:16 PM,2,36,male,unidentified.underground,dry
February,2/2/2015,4:35:16 PM,2,43,female,unidentified.underground,dry
February,2/2/2015,4:35:16 PM,2,21,female,unidentified.underground,dry
February,2/2/2015,4:44:45 PM,2,37,female,unidentified.underground,dry
February,2/2/2015,4:44:45 PM,2,37,female,graminoid.leaves,dry
February,2/2/2015,4:44:45 PM,2,48,female,graminoid.underground,dry
February,2/2/2015,4:44:45 PM,2,23,female,graminoid.underground,dry
February,2/2/2015,4:44:45 PM,2,43,female,unidentified.underground,dry
February,2/2/2015,4:44:45 PM,2,36,male,unidentified.underground,dry
February,2/2/2015,4:54:43 PM,2,43,female,graminoid.underground,dry
February,2/2/2015,4:54:43 PM,2,23,female,graminoid.underground,dry
February,2/2/2015,4:54:43 PM,2,26,female,graminoid.underground,dry
February,2/2/2015,4:54:43 PM,2,53,female,graminoid.underground,dry
February,2/2/2015,4:54:43 PM,2,36,male,unidentified.underground,dry
February,2/2/2015,4:54:43 PM,2,48,female,unidentified.underground,dry
February,2/2/2015,5:04:44 PM,2,37,female,unidentified.underground,dry
February,2/2/2015,5:04:44 PM,2,43,female,unidentified.underground,dry
February,2/2/2015,5:04:44 PM,2,26,female,graminoid.underground,dry
February,2/2/2015,5:04:44 PM,2,36,male,graminoid.underground,dry
February,2/2/2015,5:04:44 PM,2,53,female,graminoid.underground,dry
February,2/2/2015,5:04:44 PM,2,21,female,graminoid.underground,dry
February,2/2/2015,5:04:44 PM,2,23,female,unidentified.underground,dry
February,2/2/2015,5:04:44 PM,2,48,female,unidentified.underground,dry
February,2/2/2015,5:14:27 PM,2,43,female,unidentified.underground,dry
February,2/2/2015,5:14:27 PM,2,26,female,graminoid.underground,dry
February,2/2/2015,5:14:27 PM,2,36,male,graminoid.underground,dry
February,2/2/2015,5:14:27 PM,2,21,female,graminoid.underground,dry
February,2/2/2015,5:14:27 PM,2,53,female,graminoid.underground,dry
February,2/2/2015,5:14:27 PM,2,48,female,unidentified.underground,dry
February,2/2/2015,5:14:27 PM,2,37,female,unidentified.underground,dry
February,2/2/2015,5:14:27 PM,2,23,female,unidentified.underground,dry
February,2/2/2015,5:25:29 PM,2,26,female,graminoid.underground,dry
February,2/2/2015,5:25:29 PM,2,23,female,graminoid.underground,dry
February,2/2/2015,5:25:29 PM,2,36,male,graminoid.underground,dry
February,2/2/2015,5:25:29 PM,2,21,female,graminoid.underground,dry
February,2/2/2015,5:25:29 PM,2,53,female,graminoid.underground,dry
February,2/2/2015,5:25:29 PM,2,48,female,graminoid.underground,dry
February,2/2/2015,5:25:29 PM,2,37,female,unidentified.underground,dry
February,2/3/2015,9:02:29 AM,4,12,female,graminoid.underground,dry
February,2/3/2015,9:52:25 AM,4,13,male,graminoid.leaves,dry
February,2/4/2015,8:28:18 AM,6,49,female,graminoid.underground,dry
February,2/4/2015,8:28:18 AM,6,34,female,graminoid.underground,dry
February,2/4/2015,8:28:18 AM,6,32,female,graminoid.leaves,dry
February,2/4/2015,8:28:18 AM,6,40,female,unidentified.underground,dry
February,2/4/2015,8:28:18 AM,6,44,female,unidentified.underground,dry
February,2/4/2015,8:37:17 AM,6,49,female,unidentified.underground,dry
February,2/4/2015,8:37:17 AM,6,28,male,unidentified.underground,dry
February,2/4/2015,8:37:17 AM,6,34,female,unidentified.underground,dry
February,2/4/2015,8:37:17 AM,6,32,female,unidentified.underground,dry
February,2/4/2015,8:37:17 AM,6,44,female,unidentified.underground,dry
February,2/4/2015,8:47:01 AM,6,44,female,graminoid.leaves,dry
February,2/4/2015,8:47:01 AM,6,33,female,graminoid.leaves,dry
