Date,rainfall.mm,Notes
1-Nov-14,0,
2-Nov-14,0,
3-Nov-14,0,
4-Nov-14,0,
5-Nov-14,0,
6-Nov-14,0,
7-Nov-14,0,
8-Nov-14,0,
9-Nov-14,0,
10-Nov-14,0,
11-Nov-14,0,
12-Nov-14,0,
13-Nov-14,0,
14-Nov-14,,
15-Nov-14,3.5,
16-Nov-14,2.5,
17-Nov-14,,
18-Nov-14,4,
19-Nov-14,0,
20-Nov-14,0,
21-Nov-14,0,
22-Nov-14,0,
23-Nov-14,0,
24-Nov-14,8,
25-Nov-14,0,
26-Nov-14,0,
27-Nov-14,0.5,
28-Nov-14,0,
29-Nov-14,0,
30-Nov-14,0,
1-Dec-14,0,
2-Dec-14,0,
3-Dec-14,0,
4-Dec-14,0,
5-Dec-14,0,
6-Dec-14,0,
7-Dec-14,0,
8-Dec-14,0,
9-Dec-14,0,
10-Dec-14,0,
11-Dec-14,0,
12-Dec-14,0,
13-Dec-14,0,
14-Dec-14,0,
15-Dec-14,0,
16-Dec-14,0,
17-Dec-14,0,
18-Dec-14,0,
19-Dec-14,0,
20-Dec-14,0,
21-Dec-14,0,
22-Dec-14,0,
23-Dec-14,0,
24-Dec-14,0,
25-Dec-14,0,
26-Dec-14,0,
27-Dec-14,0,
28-Dec-14,0,
29-Dec-14,0,
30-Dec-14,0,
31-Dec-14,0,
1-Jan-15,0,
2-Jan-15,0,
3-Jan-15,0,
4-Jan-15,0,
5-Jan-15,0,
6-Jan-15,0,
7-Jan-15,0,
8-Jan-15,0,
9-Jan-15,0,
10-Jan-15,0,
11-Jan-15,0,
12-Jan-15,0,
13-Jan-15,0,
14-Jan-15,0,
15-Jan-15,0,
16-Jan-15,0,
17-Jan-15,0,
18-Jan-15,0,
19-Jan-15,0,
20-Jan-15,0,
21-Jan-15,0,
22-Jan-15,0,
23-Jan-15,0,
24-Jan-15,0,
25-Jan-15,0,
26-Jan-15,0,
27-Jan-15,0,
28-Jan-15,0,
29-Jan-15,0,
30-Jan-15,0,
31-Jan-15,0,
1-Feb-15,0,
2-Feb-15,0,
3-Feb-15,0,
4-Feb-15,0,
5-Feb-15,0,
6-Feb-15,0,
7-Feb-15,0,
8-Feb-15,0,
9-Feb-15,0,
10-Feb-15,0,
11-Feb-15,0,
12-Feb-15,0,
13-Feb-15,0,
14-Feb-15,0,
15-Feb-15,0,
16-Feb-15,2,
17-Feb-15,0,
18-Feb-15,0,
19-Feb-15,0,
20-Feb-15,0,
21-Feb-15,0,
22-Feb-15,0,
23-Feb-15,0,
24-Feb-15,0,
25-Feb-15,0,
26-Feb-15,0,
27-Feb-15,0,
28-Feb-15,0,
1-Mar-15,0,
2-Mar-15,0,
3-Mar-15,0,
4-Mar-15,0,
5-Mar-15,0,
6-Mar-15,1.5,
7-Mar-15,0,
8-Mar-15,0,
9-Mar-15,0,
10-Mar-15,0,
11-Mar-15,0,
12-Mar-15,0,
13-Mar-15,0,
14-Mar-15,0,
15-Mar-15,0,
16-Mar-15,0,
17-Mar-15,0,
18-Mar-15,0.5,
19-Mar-15,0.5,
20-Mar-15,13,
21-Mar-15,1.8,
22-Mar-15,12.8,
23-Mar-15,14.5,
24-Mar-15,,
25-Mar-15,0,
26-Mar-15,0,
27-Mar-15,1.5,
28-Mar-15,,
29-Mar-15,3,
30-Mar-15,0,
31-Mar-15,0,
1-Apr-15,0,
2-Apr-15,0,
3-Apr-15,0,
4-Apr-15,0,
5-Apr-15,,
6-Apr-15,,
7-Apr-15,2.5,
8-Apr-15,0.5,
9-Apr-15,1,
10-Apr-15,0,
11-Apr-15,0,
12-Apr-15,,
13-Apr-15,4.5,
14-Apr-15,0,
15-Apr-15,0,
16-Apr-15,0,
17-Apr-15,0,
18-Apr-15,0,
19-Apr-15,0,
20-Apr-15,0,
21-Apr-15,0.5,
22-Apr-15,0,
23-Apr-15,0,
24-Apr-15,0,
25-Apr-15,0,
26-Apr-15,15,
27-Apr-15,3,
28-Apr-15,15,
29-Apr-15,0,
30-Apr-15,0,
1-May-15,0,
2-May-15,,
3-May-15,8,
4-May-15,33,
5-May-15,52,
6-May-15,6,
7-May-15,9.8,
8-May-15,,
9-May-15,,
10-May-15,3,
11-May-15,0.5,
12-May-15,0,
13-May-15,0.5,
14-May-15,0,
15-May-15,,
16-May-15,,
