Date,Transect,Meter,habitat.type,bare.ground,rock,gr.lf.gram,gr.lf.forbs,seed,br.lf.gram,br.lf.forbs,gr.stem.gram,gr.stem.forbs,br.stem.gram,br.stem.forbs,shrub.green,shrub.brown,height,ht.cat
2/10/2015,1,1,grassland,0,0,0,0,0,3,0,0,0,0,0,0,0,1.6,grass
2/10/2015,1,2,grassland,0,0,0,0,0,0,0,0,0,0,2,0,0,0.7,forb
2/10/2015,1,3,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/10/2015,1,4,grassland,0,0,0,0,0,0,0,0,0,0,2,0,0,3.5,forb
2/10/2015,1,5,grassland,0,0,0,8,0,9,0,1,0,1,0,0,0,13.2,forb
2/10/2015,1,6,grassland,0,0,0,0,0,0,0,0,0,0,1,0,0,9.2,forb
2/10/2015,1,7,grassland,0,0,0,0,0,0,2,0,0,0,0,0,0,14.6,forb
2/10/2015,1,8,grassland,0,0,0,2,0,1,0,0,1,0,0,0,0,1.3,grass
2/10/2015,1,9,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/10/2015,1,10,grassland,0,0,0,0,0,8,0,0,0,0,0,0,0,0.8,grass
2/10/2015,1,11,grassland,0,0,0,0,0,3,0,0,0,0,0,0,0,1.4,grass
2/10/2015,1,12,grassland,0,0,0,0,0,0,0,0,0,0,1,2,0,3.5,forb
2/10/2015,1,13,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/10/2015,1,14,grassland,0,0,0,0,0,0,3,0,0,0,0,0,0,2.1,forb
2/10/2015,1,15,grassland,0,0,0,0,0,6,0,0,0,1,0,0,0,2.5,grass
2/10/2015,1,16,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/10/2015,1,17,grassland,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,
2/10/2015,1,18,grassland,0,0,0,0,0,2,0,0,0,0,0,0,0,0.5,grass
2/10/2015,1,19,grassland,0,0,3,0,0,5,0,1,0,0,0,0,0,2,grass
